City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Mantua,IT,45.1667,10.7833,72.64,79,1,1.01,clear sky
304,Maceio,BR,-9.6658,-35.7353,72.84,94,75,14.97,mist
305,Bandarbeyla,SO,9.4942,50.8122,84.15,56,87,26.57,overcast clouds
306,Kavieng,PG,-2.5744,150.7967,82.76,76,80,11.88,light rain
307,Jhanjharpur,IN,26.2667,86.2833,94.59,48,83,3.11,broken clouds
308,Anloga,GH,5.7947,0.8973,76.06,86,100,15.64,light rain
309,Scottsbluff,US,41.8666,-103.6672,70.92,32,0,4.61,clear sky
310,Aromashevo,RU,56.8602,68.6375,68.45,65,31,7.99,scattered clouds
311,Dingle,PH,10.9995,122.6711,89.08,61,77,8.16,broken clouds
312,Maningrida,AU,-12.0667,134.2667,88.29,52,54,12.33,broken clouds
313,Chkalovsk,RU,56.7647,43.2433,58.01,77,74,8.48,broken clouds
314,San Quintin,MX,30.4833,-115.95,62.01,85,0,3.36,clear sky
315,Kallithea,GR,37.95,23.7,78.57,55,20,5.75,few clouds
316,Nacozari,MX,25.3366,-108.2574,82.11,59,19,3.18,few clouds
317,Gravina In Puglia,IT,40.8197,16.4228,72.54,44,72,2.13,broken clouds
318,Ust-Tsilma,RU,65.441,52.1498,63.77,50,99,10.98,overcast clouds
319,Shache,CN,38.4167,77.2406,89.8,12,95,25.37,overcast clouds
320,Ambilobe,MG,-13.2,49.05,75.52,67,0,3.56,clear sky
321,Casimiro Castillo,MX,19.6,-104.4333,75.7,90,100,0.6,overcast clouds
322,Hendek,TR,40.7994,30.7481,65.53,82,24,2.82,few clouds
323,Kudahuvadhoo,MV,2.6708,72.8944,83.59,70,89,7.34,overcast clouds
324,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,84,75,5.99,broken clouds
325,Qasigiannguit,GL,68.8193,-51.1922,37.65,72,5,3.98,clear sky
326,Constantine,DZ,36.365,6.6147,67.41,45,0,2.3,clear sky
327,Colgong,IN,25.2667,87.2167,96.78,44,99,6.38,overcast clouds
328,Riyadh,SA,24.6877,46.7219,89.74,12,2,5.12,clear sky
329,Hovd,MN,48.0056,91.6419,79.39,21,53,3.44,broken clouds
